title,authors,url,conference
 Parametric Bootstrap for Differentially Private Confidence Intervals ,"Cecilia Ferrando, Shufan Wang, Daniel Sheldon",https://proceedings.mlr.press/v151/ferrando22a.html,AIStats 2022
 Policy Learning for Optimal Individualized Dose Intervals ,"Guanhua Chen, Xiaomao Li, Menggang Yu",https://proceedings.mlr.press/v151/chen22c.html,AIStats 2022
 Efficient interventional distribution learning in the PAC framework ,"Arnab Bhattacharyya, Sutanu Gayen, Saravanan Kandasamy, Vedant Raval, Vinodchandran N. Variyam",https://proceedings.mlr.press/v151/bhattacharyya22a.html,AIStats 2022
 Counterfactual Explanation Trees: Transparent and Consistent Actionable Recourse with Decision Trees ,"Kentaro Kanamori, Takuya Takagi, Ken Kobayashi, Yuichi Ike",https://proceedings.mlr.press/v151/kanamori22a.html,AIStats 2022
 CF-GNNExplainer: Counterfactual Explanations for Graph Neural Networks ,"Ana Lucic, Maartje A. Ter Hoeve, Gabriele Tolomei, Maarten De Rijke, Fabrizio Silvestri",https://proceedings.mlr.press/v151/lucic22a.html,AIStats 2022
 Exploring Counterfactual Explanations Through the Lens of Adversarial Examples: A Theoretical and Empirical Analysis ,"Martin Pawelczyk, Chirag Agarwal, Shalmali Joshi, Sohini Upadhyay, Himabindu Lakkaraju",https://proceedings.mlr.press/v151/pawelczyk22a.html,AIStats 2022
Attainability and Optimality: The Equalized Odds Fairness Revisited,"Zeyu Tang, Kun Zhang",https://openreview.net/pdf/dc591ea570cd627061534d3621654bba6ca87be0.pdf,CLeaR 2022
Causal Structure Discovery between Clusters of Nodes Induced by Latent Factors,"Chandler Squires, Annie Yun, Eshaan Nichani, Raj Agrawal, Caroline Uhler",https://openreview.net/pdf/4c7bee1719d61a249e16db35d3bdebd586de7a5f.pdf,CLeaR 2022
Evidence-Based Policy Learning,"Jann Spiess, Vasilis Syrgkanis",https://openreview.net/pdf/62edebf7e274fc19bf38ed7dfcb48ec3df8f2e8b.pdf,CLeaR 2022
Causal Imputation via Synthetic Interventions,"Chandler Squires, Dennis Shen, Anish Agarwal, Devavrat Shah, Caroline Uhler",https://openreview.net/pdf/2facc43193d3c9d726e40f7989fcb55b30517a6d.pdf,CLeaR 2022
Learning Invariant Representations with Missing Data,"Mark Goldstein, Joern-Henrik Jacobsen, Olina Chau, Adriel Saporta, Aahlad Manas Puli, Rajesh Ranganath, Andrew Miller",https://openreview.net/pdf/3df453b72aac1465588ad674e855eaec426387f1.pdf,CLeaR 2022
Causal Discovery in Linear Structural Causal Models with Deterministic Relations,"Yuqin Yang, Mohamed S Nafea, AmirEmad Ghassami, Negar Kiyavash",https://openreview.net/pdf/b16670bb9a8166d69bdb0e7fca69146391a2c932.pdf,CLeaR 2022
Identifying Principal Stratum Causal Effects Conditional on a Post-treatment Intermediate Response,"Xiaoqing Tan, Judah Abberbock, Priya Rastogi, Gong Tang",https://openreview.net/pdf/8278c4df3c8dd982fda1b44cbce5cb7da37977d1.pdf,CLeaR 2022
Cause-effect inference through spectral independence in linear dynamical systems: theoretical foundations,"Michel Besserve, Naji Shajarisales, Dominik Janzing, Bernhard Schölkopf",https://openreview.net/pdf/d9b84302c139ffe60bb3f40311f79b319bf2ec34.pdf,CLeaR 2022
Towards efficient representation identification in supervised learning,"Kartik Ahuja, Divyat Mahajan, Vasilis Syrgkanis, Ioannis Mitliagkas",https://openreview.net/pdf/b298f20ddcf58734185537f3ed8f91aa8afe57d3.pdf,CLeaR 2022
